state,state population,ethnicity,gender,age group,group population
AK,710231,NavAm,Male,35-39,2977
AZ,6392017,NavAm,Male,35-39,9240
AR,2915918,NavAm,Male,35-39,734
CA,37253956,NavAm,Male,35-39,12741
CO,5029196,NavAm,Male,35-39,2228
CT,3574097,NavAm,Male,35-39,374
DE,897934,NavAm,Male,35-39,146
DC,601723,NavAm,Male,35-39,67
FL,18801310,NavAm,Male,35-39,2661
GA,9687653,NavAm,Male,35-39,1306
HI,1360301,NavAm,Male,35-39,196
ID,1567582,NavAm,Male,35-39,741
IL,12830632,NavAm,Male,35-39,1882
IN,6483802,NavAm,Male,35-39,679
IA,3046355,NavAm,Male,35-39,399
KS,2853118,NavAm,Male,35-39,1001
KY,4339367,NavAm,Male,35-39,379
LA,4533372,NavAm,Male,35-39,1030
ME,1328361,NavAm,Male,35-39,293
MD,5773552,NavAm,Male,35-39,739
MA,6547629,NavAm,Male,35-39,675
MI,9883640,NavAm,Male,35-39,2122
MN,5303925,NavAm,Male,35-39,1823
MS,2967297,NavAm,Male,35-39,477
MO,5988927,NavAm,Male,35-39,930
MT,989415,NavAm,Male,35-39,1793
NE,1826341,NavAm,Male,35-39,571
NV,2700551,NavAm,Male,35-39,1047
NH,1316470,NavAm,Male,35-39,106
NJ,8791894,NavAm,Male,35-39,1129
NM,2059179,NavAm,Male,35-39,5857
NY,19378102,NavAm,Male,35-39,3774
NC,9535483,NavAm,Male,35-39,4460
ND,672591,NavAm,Male,35-39,1068
OH,11536504,NavAm,Male,35-39,944
OK,3751351,NavAm,Male,35-39,9910
OR,3831074,NavAm,Male,35-39,2005
PA,12702379,NavAm,Male,35-39,949
RI,1052567,NavAm,Male,35-39,189
SC,4625364,NavAm,Male,35-39,678
SD,814180,NavAm,Male,35-39,2022
TN,6346105,NavAm,Male,35-39,760
TX,25145561,NavAm,Male,35-39,6273
UT,2763885,NavAm,Male,35-39,1114
VT,625741,NavAm,Male,35-39,79
VA,8001024,NavAm,Male,35-39,1071
WA,6724540,NavAm,Male,35-39,3504
WV,1852994,NavAm,Male,35-39,143
WI,5686986,NavAm,Male,35-39,1872
WY,563626,NavAm,Male,35-39,454
PR,3725789,NavAm,Male,35-39,646
AL,4779736,NavAm,Male,40-44,920
AK,710231,NavAm,Male,40-44,3208
AZ,6392017,NavAm,Male,40-44,8755
AR,2915918,NavAm,Male,40-44,750
CA,37253956,NavAm,Male,40-44,12977
CO,5029196,NavAm,Male,40-44,2068
CT,3574097,NavAm,Male,40-44,408
DE,897934,NavAm,Male,40-44,130
DC,601723,NavAm,Male,40-44,75
FL,18801310,NavAm,Male,40-44,2753
GA,9687653,NavAm,Male,40-44,1251
HI,1360301,NavAm,Male,40-44,163
ID,1567582,NavAm,Male,40-44,724
IL,12830632,NavAm,Male,40-44,1675
IN,6483802,NavAm,Male,40-44,686
IA,3046355,NavAm,Male,40-44,386
KS,2853118,NavAm,Male,40-44,953
KY,4339367,NavAm,Male,40-44,405
LA,4533372,NavAm,Male,40-44,1047
ME,1328361,NavAm,Male,40-44,309
MD,5773552,NavAm,Male,40-44,792
MA,6547629,NavAm,Male,40-44,673
MI,9883640,NavAm,Male,40-44,2324
MN,5303925,NavAm,Male,40-44,1944
MS,2967297,NavAm,Male,40-44,457
MO,5988927,NavAm,Male,40-44,995
MT,989415,NavAm,Male,40-44,1677
NE,1826341,NavAm,Male,40-44,559
NV,2700551,NavAm,Male,40-44,1191
NH,1316470,NavAm,Male,40-44,127
NJ,8791894,NavAm,Male,40-44,1080
NM,2059179,NavAm,Male,40-44,5745
NY,19378102,NavAm,Male,40-44,3890
NC,9535483,NavAm,Male,40-44,4090
ND,672591,NavAm,Male,40-44,1030
OH,11536504,NavAm,Male,40-44,988
OK,3751351,NavAm,Male,40-44,9304
OR,3831074,NavAm,Male,40-44,1867
PA,12702379,NavAm,Male,40-44,963
RI,1052567,NavAm,Male,40-44,229
SC,4625364,NavAm,Male,40-44,724
SD,814180,NavAm,Male,40-44,1973
TN,6346105,NavAm,Male,40-44,801
TX,25145561,NavAm,Male,40-44,6091
UT,2763885,NavAm,Male,40-44,965
VT,625741,NavAm,Male,40-44,92
VA,8001024,NavAm,Male,40-44,1141
WA,6724540,NavAm,Male,40-44,3487
WV,1852994,NavAm,Male,40-44,162
WI,5686986,NavAm,Male,40-44,1944
WY,563626,NavAm,Male,40-44,417
PR,3725789,NavAm,Male,40-44,677
AL,4779736,NavAm,Male,45-49,1118
AK,710231,NavAm,Male,45-49,3621
AZ,6392017,NavAm,Male,45-49,8896
AR,2915918,NavAm,Male,45-49,825
CA,37253956,NavAm,Male,45-49,13712
CO,5029196,NavAm,Male,45-49,2119
CT,3574097,NavAm,Male,45-49,450
DE,897934,NavAm,Male,45-49,182
DC,601723,NavAm,Male,45-49,84
FL,18801310,NavAm,Male,45-49,2943
GA,9687653,NavAm,Male,45-49,1186
HI,1360301,NavAm,Male,45-49,166
ID,1567582,NavAm,Male,45-49,738
IL,12830632,NavAm,Male,45-49,1629
IN,6483802,NavAm,Male,45-49,816
IA,3046355,NavAm,Male,45-49,370
KS,2853118,NavAm,Male,45-49,934
KY,4339367,NavAm,Male,45-49,489
LA,4533372,NavAm,Male,45-49,1084
ME,1328361,NavAm,Male,45-49,358
MD,5773552,NavAm,Male,45-49,813
MA,6547629,NavAm,Male,45-49,725
MI,9883640,NavAm,Male,45-49,2441
MN,5303925,NavAm,Male,45-49,2030
MS,2967297,NavAm,Male,45-49,505
MO,5988927,NavAm,Male,45-49,1164
MT,989415,NavAm,Male,45-49,1961
NE,1826341,NavAm,Male,45-49,514
NV,2700551,NavAm,Male,45-49,1249
NH,1316470,NavAm,Male,45-49,131
NJ,8791894,NavAm,Male,45-49,1069
NM,2059179,NavAm,Male,45-49,6117
NY,19378102,NavAm,Male,45-49,3878
NC,9535483,NavAm,Male,45-49,4098
ND,672591,NavAm,Male,45-49,1084
OH,11536504,NavAm,Male,45-49,1191
OK,3751351,NavAm,Male,45-49,9916
